source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,astrometric_excess_noise,teff_gspphot,radius_gspphot,add_teff,add_r,add_g,add_b
8810116091022208,44.05766181697293,8.38116469976781,23.14853753090701,0.08733483,5.860868,6.090557,5.476144,0.61441326,1.3787111,0.5268897,6350.0938,2.0689,5911.676156572808,1.0,0.9595020121378014,0.9191019805633879
19316224572460416,39.02838450657828,6.893339107578528,138.34000380964673,0.31773403,5.4983196,6.019165,4.820522,1.1986432,7.2789974,1.8008233,,,4311.390951584769,1.0,0.8363654180439283,0.7049443708129326
26484834227184896,39.15926754825287,12.447251091150015,28.90260357723277,0.22168143,5.4919176,5.769906,5.0812464,0.68865967,4.1127963,1.1386545,,,5640.76019057912,1.0,0.9412030657204544,0.8882820175113181
33141999176254080,41.1373966627468,15.311787711394173,5.786706135390988,0.16063729,5.7472363,5.7457323,5.729386,0.016346455,2.9078586,0.9005117,10919.656,4.0213,9925.807742952957,0.7929725580365412,0.856389207914507,1.0
35773474098974592,44.11027389324208,18.022211560250028,,,5.4576983,5.6990795,5.0680366,0.63104296,,1.1300745,,,5848.5956665101085,1.0,0.9553172835001366,0.9120804081746281
49520461823548288,64.90307371343063,21.773306813382668,11.402268814831404,0.09490252,5.319738,5.2641325,5.4057355,-0.141603,1.216965,0.6654075,,,12323.471248409613,0.7441855625547172,0.8261094862846045,1.0
93806419367308544,28.38291710673696,19.293423012157074,19.62678828154372,0.15262009,4.5623956,4.5520573,4.5804887,-0.028431416,0.91625017,0.75860286,9977.32,2.1211,10494.320642673481,0.778815117836334,0.8476875780707954,1.0
102394910850317952,37.63511600194724,25.234692908060943,,,5.7899246,5.992024,5.427403,0.564621,,0.9244895,,,6109.61505292994,1.0,0.9723491006727515,0.9405634341870087
104290468896756736,33.15662595296719,24.16775846980903,5.774807573573771,0.10034578,5.4979186,6.231466,4.675447,1.5560188,1.9874506,0.5595884,4567.559,31.1506,3711.1480968029496,1.0,0.7778846647770574,0.5963051146308399
143119137916819456,43.42786006164385,38.337105170901495,16.60427992591326,0.56667554,5.2669635,5.4539204,4.8756585,0.57826185,6.530081,3.2805562,6608.689,5.0923,6053.983495825236,1.0,0.9687809137004828,0.9346167724482791
145674574739951872,66.34285323849276,22.29367359328652,20.91185281250576,0.157056,4.167236,4.2523975,4.031565,0.22083235,1.1911019,1.0030557,,,8005.207292278133,0.8672080042978269,0.900957146613477,1.0
164262059326729088,61.7514381847838,29.00134411387584,35.93194258198941,0.10554108,5.1164393,5.2990575,4.8099465,0.48911095,1.069959,0.5563507,6855.559,1.6027,6438.690167790488,1.0,0.9928133111687336,0.9744672430126978
168726523212358272,58.53304404662457,31.88359461391294,3.855550617532855,0.41687024,2.8219895,3.0236056,2.6726608,0.35094476,2.690974,1.7158756,28444.018,26.0687,7152.7233666268185,0.9335772383756245,0.9394214781330493,1.0
